"OutRegion_name","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East of England","London","South East","South West","Wales","Scotland","Northern Ireland","Out_total"
"North East",0,0.00510977494623492,0.00780422581678513,0.0023754183471389,0.00174140111777006,0.00206442589603308,0.00462724209576542,0.00285695629945188,0.00156699974837039,0.00059475336856929,0.00209419189067924,0.000311022689256592,0.0311464122160549
"North West",0.00507385422798387,0,0.0164427384033582,0.00799807308896118,0.0105481037795975,0.00464726485426391,0.0114381437777698,0.00733759168202195,0.00595257583433785,0.00691751195220157,0.00395891313274729,0.0010569139579143,0.0813716846911575
"Yorkshire and The Humber",0.00830704556859934,0.0171774402963076,0,0.0145865196253179,0.00628417123846009,0.00558034029258294,0.0100366866915576,0.00664821501318648,0.00440851449515792,0.00188073467375887,0.00293107189687658,0.000377297597182455,0.0782180373889877
"East Midlands",0.00271795240230263,0.00828212378870287,0.0148709008658452,0,0.013795066771001,0.0114915275950565,0.0114877895296597,0.0106979730632688,0.00637448994897554,0.00233425282163658,0.00198052624095718,0.000331423676624316,0.0843640267040304
"West Midlands",0.00194827574125213,0.0113841524886332,0.00648989530030531,0.0154450844173716,0,0.00573275386465702,0.0123141236027987,0.0101476096780086,0.011749939240767,0.00637309124551393,0.00183075258543772,0.000363612251116431,0.0837792904158617
"East of England",0.00276726238472674,0.00616114688107433,0.00739184982283904,0.0169986409138706,0.00739753346125337,0,0.0273540494948364,0.0223857218143254,0.0103489871946689,0.00271365083636698,0.00259365451480022,0.000468855441918055,0.10658135276068
"London",0.00369440679876043,0.0121822789658214,0.00969065364137659,0.0137967774313847,0.0151485643861979,0.0520386964582793,0,0.0785886245105526,0.0192348523902732,0.00419323542965358,0.00495721182130682,0.000976414015927295,0.214501715849534
"South East",0.00389561239893437,0.00946346124843757,0.00836590349911405,0.0148110046958245,0.012879608394302,0.02046918031935,0.0470240375051797,0,0.0364870320718574,0.00721138759409416,0.00462460129726473,0.000827383651951484,0.16605921267631
"South West",0.0017827374258281,0.00557116043098183,0.00425202771818266,0.00526742576602258,0.0102003281299861,0.00686738862651786,0.0155443337767289,0.0255305982258832,0,0.0102988413793605,0.00260748153920184,0.000456342013182858,0.0883786650318763
"Wales",0.000666070236151664,0.00684954597569383,0.0018826607179707,0.00214125064277843,0.0056741188775081,0.00203877896748344,0.00428292291877169,0.00485148670997728,0.00830355287319682,0,0.00104014104466994,0.000249667591457356,0.0379801965556592
"Scotland",0.00208253880032963,0.00336890488598778,0.00204684713607067,0.00139965281355336,0.00146552775893912,0.00179012983474174,0.00450528212128681,0.00312092080357461,0.00199147087663268,0.000826706317374208,0,0,0.0225979813484906
"Northern Ireland",0.000360335128530452,0.00126998047272825,0.000348157532257258,0.000267804623278378,0.000360574954863756,0.000337876057025863,0.000856426009852001,0.000613882211735608,0.000405838316760907,0.000200549054325316,0,0,0.00502142436135779
